__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__2 , 会德丰 新 推个 单位 涉及 货值 亿港元
__label__2 , 野村 会德丰 中期 业绩 符 预期 估值 吸引 维持 买入 评级
__label__1 , 大中华地产控股 年度 业绩 扭亏为盈 万港元
__label__2 , 科创 板 申报 受理 公布 即会 新光 光电
__label__1 , 大中华地产控股 预期 年 业绩 扭亏为盈
__label__2 , 大中华地产控股 香港 展开 新 金融服务 业务 分部
__label__1 , 大中华地产控股 上半年 扭亏为盈 净利润 万元
__label__3 , 大中华地产控股 年度 亏损 同比 扩大 倍至 万港元
__label__3 , 大中华地产控股 中期 净亏损 同比 扩大 倍至 万港元
__label__3 , 大中华地产控股 预期 中期 亏损 同比 明显增加
__label__3 , 大中华地产控股 年 亏损 减少 逾 一半 派息
__label__2 , 内地 快递 商 赶上 市 盛极而衰 有待 观察
__label__3 , 大中华 地产 上半年 同比 减少 七成
__label__3 , 大中华 地产 上半年 营收 万港元 同比 减少 约 七成
__label__3 , 大中华 地产 去年 亏损 增至 万元
__label__2 , 茂盛控股 区 松盛 辞任 公司 秘书 邓锡 浩 接任
__label__2 , 买楼 周大福 永伦 集团 上海 公路 大王 往事
__label__2 , 茂盛控股 中期 转 赚 万元 派息
__label__3 , 茂盛控股 中期 业绩 由亏 转盈 万港元
__label__1 , 茂盛控股 完成 收购 堡超 股份
__label__2 , 茂盛控股 按股 获 发股 基准 溢价 发行 亿股
__label__2 , 茂盛控股 已获 亿股 发售 股份 有效 接纳
__label__1 , 茂盛控股 签订 亿港元 收购 香港 物业 正式 协议
__label__3 , 茂盛控股 年度 亏损 减少 万港元
__label__3 , 茂盛控股 中期 业绩 由盈 转亏 万港元
__label__3 , 茂盛控股 执行 董事 孙翠芬 离世
__label__1 , 去哪儿 携程 互相 举报 背后 暗战 正酣
__label__1 , 招商局 料 港口 吞吐量 升成
__label__2 , 东亚银行 今年 开局 良好 继续 提升 数码化
__label__2 , 东亚银行 折让 发行 约 万股 股代息 股份
__label__2 , 中国金融投资管理 延长 东亚银行 收购 多项 资产 期限
__label__2 , 东亚银行 年度 第二次 中期 股代息 市值 每股 港元
__label__2 , 金融 对外开放 加速 落子 境外 主体 积极 投身 境内 市场
__label__2 , 业绩 会 实录 东亚银行 李国宝 国内 杠杆 增加 净 息差 压力
__label__2 , 高盛 东亚银行 维持 中性 评级 目标价 元
__label__2 , 东亚银行 三年 成本 控制 节省 亿元
__label__3 , 东亚银行 年 减值 贷款 比率 降至
__label__3 , 东亚银行 年度 归属 股东 净利 跌至 亿港元 每股 合派 港元
__label__2 , 里昂 予 香港 银行业 增持 评级 首选 中银
__label__3 , 美银 美林 下调 香港银行 目标价 恒生 评级 降至 跑 输 大市
__label__3 , 东亚银行 涉 协议 失实 陈述 公司 索偿 亿
__label__2 , 花旗 予 东亚银行 目标价 港元 评级 沽售
__label__2 , 金融业 对外开放 蹄 疾步 稳 两家 银行 保险机构 批筹
__label__2 , 商汤科技 东亚银行 中国 建立 全面 战略 合作 关系
__label__2 , 花旗 香港银行 股若 回调 属 吸纳 机会 首推 中银 香港
__label__2 , 中银 香港 走高 近 香港 银行 股 全线 向上
__label__2 , 东亚银行 拟 出售 印尼 一家 外国 合资银行 股权
__label__3 , 香港 细价股 迎 斩仓 潮 大摩 银行 股 目标价 降至
__label__2 , 李国宝 东亚 是否 派 特别 股息 或红股 有待 决定
__label__3 , 大摩 料 香港银行 股 股本 成本 增 全线 目标价 降至
__label__2 , 里昂 上调 中银 香港 东亚银行 评级 买入
__label__3 , 东亚银行 获悉 李国宝 涉及 刑事 调查
__label__2 , 半年 定存 最高 厘 港银 续 抢 资金 三 银行 连环 加 存息
__label__3 , 东亚银行 高盛 下调 目标价
__label__2 , 东亚银行 计算 股代息 应收 股数 市值 每股 港元
__label__2 , 瑞银 升 东亚 评级 中性 预计 恒生 短期 跑 赢 中银 香港
__label__3 , 月 日 港股通 減持 比例 排名
__label__2 , 东亚银行 前海 支行 升 分行 日前 获 监管 批准
__label__2 , 外资 行 抢占 内地 财富 管理 市场
__label__2 , 东亚银行 中资银行 竞争 中 合作 进步
__label__2 , 叶志 衡 关注 客户 需求 东亚银行 做 更好
__label__3 , 德意志 建议 沽售 银行 股
__label__3 , 花旗 维持 东亚银行 沽售 评级 目标价 元
__label__2 , 德银 东亚银行 目标价 升至 元 评级 沽售
__label__2 , 宝威控股 授出 合共 万份 购 股权
__label__2 , 宝威控股 西澳 巴尔德 山 锂辉石 精矿 付运
__label__2 , 宝威控股 第二批 锂辉石 精矿 于月 日装 货轮 运往 中国
__label__2 , 宝威控股 万吨 锂辉石 精矿 于月 日 装船 运往 中国
__label__2 , 宝威控股 撤回 授予 董事 万份 购 股权
__label__2 , 宝威控股 月 日授 出购 股权 亿份
__label__2 , 宝威控股 预计 万吨 锂辉石 精矿 于月 日 抵达 镇江 港
__label__2 , 宝威控股 涉及 公司 不实 谣言 报警 进行 相关 调查 处理
__label__3 , 宝威控股 月 日 合计 注销 万股 回购 股份
__label__3 , 陈明辉 辞任 宝威控股 独立 非执 董等 职务
__label__2 , 宝威控股 月 日 合计 注销 万股 回购 股份
__label__2 , 宝威控股 未 手机 应用程式 销售 理财产品
__label__2 , 宝威控股 回购 万股 涉资 万港元
__label__1 , 宝威控股 回购 万股 涉资 万港元
__label__1 , 宝威控股 获 两位 高管 合共 增持 万股
__label__2 , 宝威控股 斥 万港元 回购 万股
__label__2 , 宝威控股 江西 锂 盐 项目 生产线 正式 点火
__label__3 , 宝威控股 中期 股东 应 占 盈利 同比 降至 万港元
__label__1 , 宝威控股 预期 中期 业绩 扭亏为盈
__label__1 , 宝威控股 宝江 锂业 碳酸锂 生产线 进入 试生产 阶段
__label__1 , 宝威控股 宝江 锂业 碳酸锂 生产线 最快 月底 进入 试生产 阶段
__label__1 , 宝威控股 巴尔德 山锂 矿 储量 增加
__label__1 , 宝威控股 拟向 同方 证券 海通 发行 不超 万美元 可换 股债
__label__1 , 宝威控股 正 多间 第三方 机构 磋商 发行 公司债券 股份 交易
__label__2 , 其士 国际 拟 亿港元 出售 香港 观塘 物业
__label__2 , 其士 国际 授 出新 升 置业 股权 期权 拟 出售 香港 九龙 观 物业
__label__2 , 获准 延长 委任 独立 非 执行 董事 时限
__label__2 , 其士 国际集团 亿港元 出售 观塘 地块 建于 其上 物业
__label__3 , 其士 国际 中期 股东 应 占 溢利 同比 减少 亿港元 中期 息 每股 港元
__label__2 , 独董 周明权 离世
__label__1 , 其士 国际 获 主席 郭海生 增持 万股
__label__1 , 其士 国际 拟向 增资 万美元 涉足 美国 医疗保健 物业
__label__1 , 其士 国际 拟 亿港元 竞买 香港 物业
__label__2 , 其士 国际 料 年度 股东 应 占 溢利 大增 现升
__label__2 , 复牌 其士 获市 建局 福泽 街 项目 涉资 亿
__label__2 , 其土 国际 出售 成都 三 地块 料 赚 亿创 近两年 新高
__label__1 , 其士 国际 拟 日 企拓 安老 业务
__label__3 , 中华汽车 年 中期 纯利 同比 减少 每股 派息 港仙及 特别 股息 港元
__label__2 , 中华汽车 中期 股东 应 占 溢利 同比 增长 亿港元
__label__2 , 中华汽车 年度 股东 应 占 盈利 同比 增至 亿港元
__label__1 , 中华汽车 拟于 月 日 派发 第二次 中期 股息
__label__1 , 中华汽车 中期 盈利 增至 亿港元 每股 派息 港元
__label__1 , 中华汽车 中期 溢利 同比 增长 亿港元
__label__1 , 中华 借力 宝马 组合拳 新品 攻势 完成 涅槃 重生
__label__1 , 中华汽车 全年 税后 净利 同比 上升 亿港元 每股 派息 港元
__label__3 , 中华汽车 再次 澄清 媒体报道 方 收购 公司 股权
__label__3 , 中华汽车 确认 未 获悉 方有 兴趣 收购 公司 股权
__label__1 , 南北 奔驰 战略性 重组 打造 商用车 第三 增长点
__label__3 , 华晨汽车 逐渐 迷失 两家 上市公司 皆 亏损 亿元
__label__3 , 华晨汽车 逐渐 迷失 两家 上市公司 皆 亏损 亿元
__label__3 , 银河娱乐 非 执董 万卓 祺 减持 万股
__label__2 , 银河娱乐 认股权 获 行使 月 日 发行 万股
__label__3 , 银河娱乐 非 执董 万卓 祺 减持 万股
__label__2 , 国泰君安 香港 银河娱乐 维持 收集 投资 评级
__label__2 , 里昂 银娱 目标价 升至 元 给予 跑 赢大 市 评级
__label__2 , 银娱 主席 吕志和 赌牌续 牌 问题 配合政府 做好 本职工作 等待 消息
__label__2 , 大行 银河娱乐 投资 评级 目标价
__label__1 , 博彩业 基本面 趋于 转好 银河娱乐 形成 突破
__label__2 , 银河娱乐 月 日 认股权 获 行使 折让 逾 发行 万股
__label__2 , 银河娱乐 授出 万份 认股权 万股 股份 奖励
__label__1 , 博雅生物 血浆 供应 充足 血液制品 批 签发 量 快速增长
__label__2 , 天安 获 股东 庄舜而 增持 万股
__label__2 , 高龄 电解槽 岁 云铝 阳宗海 铝电解 分公司 电解槽 长寿 之星 生产 运行 侧记
__label__2 , 增持 天安 万股 每股 作价 港元
__label__3 , 阳光城 清远 天安 智谷 提供 万元 担保
__label__3 , 天安 年度 股东 应 占 溢利 减少 亿港元
__label__3 , 天安 年 纯利润 同期 预计 下降
__label__2 , 增持 天安 万股 每股 作价 港元
__label__2 , 天安 放债 服务公司 借出 亿元
__label__2 , 天安 附属 授出 亿港元 贷款
__label__2 , 天安 苏州 象屿 地产 注资 亿元
__label__3 , 天安人寿 主业 亏 亿 激进 投资 偿付能力 充足率 接近 监管 红线
__label__1 , 天安人寿 一季度 价值 保费 亿 增长 近 五成
__label__1 , 天安 沪 打造 沉浸 式 购物 休闲 综合体
__label__1 , 三 上市 险企 去年 地产 投资 余额 亿元 平安 新华 租金 收入 大增 五成
__label__1 , 六险 企首 月 筹划 增资 亿元 凸显 结构调整 扩大 规模 压力
__label__3 , 天安 遭 抛售 万股
__label__1 , 天安人寿 转型 成效 显 续期 保费 增长 快
__label__1 , 天安 中期 纯利 同比增加 亿港元 派息
__label__3 , 天安人寿 上半年 净利润 亏损 近 亿 集团化 路遇 挫折
__label__1 , 天安 预计 中期 纯利 同比 大幅 增加
__label__3 , 天安人寿 被列 负面 评级 盈利模式 面临 调整 压力 高管频 调整
__label__3 , 天安 财险 淮南 中 支 虚列 中介 渠道 业务 费用 罚 万
__label__1 , 天安 年度 多赚 拟派 末息 每股 港仙
__label__3 , 辞任 达力集团 独立 非 执行 董事 职
__label__2 , 达力集团 派发 中期 股息 每股 港元
__label__2 , 达力集团 委任 陈永 栽为 执 董及 董事会 主席
__label__2 , 达力集团 董事局 成员 变动
__label__3 , 达力集团 中期 纯利 万元 跌
__label__2 , 达力集团 股份 转让 获 豁免 全面 收购 责任
__label__3 , 达力集团 中期 股东 应 占 溢利 同比 减少 万港元
__label__2 , 达力集团 圳 华 强制 清算 期限 延至 月
__label__2 , 达力集团 行使 认股权 折让 发行 万股
__label__2 , 达力集团 认股权 获 行使 折让 发行 万股
__label__2 , 达力集团 认股权 获 行使 折让 发行 万股
__label__3 , 陈 永涵 陈永杰 退任 达力集团 执行 董事 职务
__label__2 , 达力集团 年度 股东 应 占 溢利 增长 亿港元 每股 派息 港元
__label__3 , 达力集团 圳 华 强制 清算 期限 延至 年 月
__label__2 , 达力集团 购 股权 获 行使 折让 发行 万股
__label__1 , 达力集团 中期 净利润 增至 万港元
__label__3 , 达力集团 延长 圳 华 强制 清算 期限 月份
__label__3 , 达力集团 延长 圳 华 强制 清算 期限 月
__label__1 , 达力集团 财年 净利润 增至 亿港元
__label__3 , 达力 合营 伙伴 中国法院 申请 强制 清算 圳 华
__label__2 , 达力 派 中期 息仙
__label__2 , 达力 重选 张志明 董事 议案 遭 股东 否决
__label__2 , 万隆控股集团 万港元 出售 晋翘 有限公司 股权
__label__2 , 万隆 控股 重续 万元 贷款
__label__2 , 万隆控股集团 万 贷款 达成 重续 协议
__label__2 , 万隆控股集团 附属 借方 重续 万港元 贷款 协议
__label__2 , 万隆控股集团 放贷 合共 万港元 订立 重续 协议
__label__2 , 万隆控股集团 重续 万港元 贷款
__label__2 , 万隆控股集团 放贷 合共 万港元 订立 重续 协议
__label__2 , 万隆控股集团 中期 股东 应 占 溢利 同比 增长 倍至 万港元
__label__2 , 万隆控股集团 溢价 云南白药 控股 增发 亿股
__label__2 , 万隆控股集团 附属 重续 万港元 贷款
__label__2 , 万隆控股集团 预计 中期 纯利 大增 逾
__label__2 , 万隆控股集团 拟 发行 亿股 认购 股份 予 云南白药 控股 净筹 亿港元
__label__3 , 万隆控股集团 年度 净亏损 收窄 万港元
__label__3 , 万隆控股集团 全年 亏损 收窄 万元
__label__3 , 万隆控股集团 料 年度 亏损 大幅 减少 超过
__label__3 , 万隆 控股 再审 申请 驳回 预期 不会 财务 造成 进一步 影响
__label__1 , 万隆控股集团 获 万港元 第二笔 贷款
__label__1 , 万隆控股集团 中期 业绩 亏 转盈 万港元
__label__1 , 万隆控股集团 预期 中期 业绩 扭亏为盈 万港元
__label__1 , 万隆 控股 获 云南白药 入股 成 主要 股东 现升近
__label__3 , 万隆 控股 料 年度 亏损 净额 大幅 增加
__label__1 , 万隆 控股 云南白药 附属 成立 合营 公司 开拓 东盟 市场
__label__1 , 万隆 公眾 股东
__label__3 , 方科 减持 万隆控股集团 万股 套现 万 港币
__label__3 , 航天控股 股东 应 占 年度 溢利 减少 至约 亿港元 末期 息 每股 港仙
__label__3 , 航天控股 更换 主席
__label__2 , 航天控股 委任 刘眉 玄为 执 董及 主席 职务
__label__1 , 航天控股 控股 股东 重组 持股 升至
__label__3 , 航天控股 中期 净利 减至 亿港元
__label__1 , 航天控股 上半年 净利润 亿元
__label__3 , 航天控股 预期 上半年 股东 应 占 溢利 同比 大幅 减少 约
__label__1 , 航天控股 合营企业 退出 海南 航天 发射场 配套 区 土地 开发 项目
__label__1 , 航天控股 发 盈喜 料去 年度 盈利 大增
__label__3 , 港通控股 年 股东 应 占 利润 大幅 减少 拟派 末期 息港 仙
__label__3 , 港通控股 年度 归属 股东 溢利 降至 亿港元
__label__3 , 港通控股 预计 股东 应 占 年度 溢利 同比 降约
__label__2 , 港通控股 于月 日 派发 中期 股息 每股 港元
__label__2 , 港通控股 月末 取得 恒大健康 证券 公允 值为 亿港元
__label__3 , 港通控股 中期 业绩 由盈 转亏 亿港元 每股 派息 港元
__label__3 , 港通控股 预计 中期 业绩 盈转 亏 亿港元
__label__1 , 港通控股 中 报 净利 大涨 亿
__label__1 , 港通控股 上半年 纯利 增长 亿港元
__label__3 , 港通控股 去年 少 赚 末期 息 港元
__label__3 , 马克斯 标的 稀缺 狙击 高 负债率 优质 公司
__label__2 , 亚投金融集团 目前 正在 磋商 可能 股本 集资 活动
__label__2 , 亚投金融集团 建议 股本 重组 更改 每手 买卖 单位 至股
__label__3 , 亚投金融集团 年度 股东 应 占 亏损 收窄 亿港元
__label__3 , 亚投 金融 去年 亏损 收窄 亿元 派息
__label__3 , 亚投金融集团 预期 年度 股东 应 占 亏损 收窄
__label__2 , 亚投金融集团 拟 溢价 发行 亿股 认购 股份
__label__2 , 曾敬 燊 接替 李万成 获任 亚投金融集团 公司 秘书 授权代表
__label__2 , 亚投金融集团 拟 蓝联 在线 境外 退税 服务 方面 开展 合作
__label__3 , 亚投金融集团 曾敬 燊 辞任 公司 秘书 李万成 接任
__label__3 , 凌献革 辞任 亚投金融集团 执行 董事 职
